corr,date,id
-0.074909026,4/1/16,648
-0.074097086,4/4/16,649
-0.075236929,4/5/16,650
-0.075256116,4/6/16,651
-0.074187885,4/7/16,652
-0.075146574,4/8/16,653
-0.069644919,4/11/16,654
-0.055205234,4/12/16,655
-0.059712812,4/13/16,656
-0.058222613,4/14/16,657
-0.06303233,4/15/16,658
-0.046722402,4/18/16,659
-0.034853521,4/19/16,660
-0.033230686,4/20/16,661
-0.036168844,4/21/16,662
0.020913369,4/22/16,663
0.020504704,4/25/16,664
0.004214211,4/26/16,665
0.012542662,4/27/16,666
0.011063283,4/28/16,667
0.020149232,4/29/16,668
0.029245363,5/2/16,669
0.025898674,5/3/16,670
0.021101194,5/4/16,671
0.022873623,5/5/16,672
0.02066534,5/6/16,673
0.010429753,5/9/16,674
-0.003415288,5/10/16,675
-0.001532657,5/11/16,676
-0.002980094,5/12/16,677
-0.003697986,5/13/16,678
-0.00796974,5/16/16,679
0.058970016,5/17/16,680
0.054854737,5/18/16,681
0.060692766,5/19/16,682
0.071601828,5/20/16,683
0.066423575,5/23/16,684
0.072239818,5/24/16,685
-0.125190513,5/25/16,686
-0.127045686,5/26/16,687
-0.048597896,5/27/16,688
-0.041630911,5/31/16,689
0.05697819,6/1/16,690
0.08831023,6/2/16,691
0.068504075,6/3/16,692
0.079999777,6/6/16,693
0.095424798,6/7/16,694
0.110473739,6/8/16,695
0.111780223,6/9/16,696
0.11433962,6/10/16,697
-0.018519811,6/13/16,698
-0.015554091,6/14/16,699
-0.031126612,6/15/16,700
-0.053863267,6/16/16,701
-0.04628593,6/17/16,702
-0.050553027,6/20/16,703
-0.062267951,6/21/16,704
-0.050082538,6/22/16,705
-0.036094006,6/23/16,706
-0.140273842,6/24/16,707
-0.11902147,6/27/16,708
-0.127347439,6/28/16,709
-0.156668179,6/29/16,710
-0.1555212,6/30/16,711
-0.156529177,7/1/16,712
-0.147604097,7/5/16,713
-0.144848835,7/6/16,714
-0.135797149,7/7/16,715
-0.108899366,7/8/16,716
-0.108330104,7/11/16,717
-0.101255588,7/12/16,718
-0.098048251,7/13/16,719
-0.097570405,7/14/16,720
-0.101464263,7/15/16,721
-0.100620092,7/18/16,722
-0.100098787,7/19/16,723
-0.108831537,7/20/16,724
-0.109327901,7/21/16,725
-0.113217458,7/22/16,726
-0.112986502,7/25/16,727
-0.114497463,7/26/16,728
-0.11033605,7/27/16,729
-0.110533457,7/28/16,730
-0.110098007,7/29/16,731
-0.101326067,8/1/16,732
-0.067758652,8/2/16,733
-0.064315317,8/3/16,734
-0.058527844,8/4/16,735
-0.059767112,8/5/16,736
-0.06091308,8/8/16,737
-0.061147272,8/9/16,738
-0.060948865,8/10/16,739
-0.061052811,8/11/16,740
-0.05990147,8/12/16,741
-0.065497002,8/15/16,742
-0.06855807,8/16/16,743
-0.068620595,8/17/16,744
-0.070791405,8/18/16,745
-0.069395879,8/19/16,746
-0.070077485,8/22/16,747
-0.069878388,8/23/16,748
-0.067018663,8/24/16,749
-0.068219844,8/25/16,750
-0.068553999,8/26/16,751
-0.067005713,8/29/16,752
-0.067590953,8/30/16,753
-0.064229905,8/31/16,754
-0.0646742,9/1/16,755
-0.062049529,9/2/16,756
-0.058755926,9/6/16,757
-0.056257928,9/7/16,758
-0.051139288,9/8/16,759
-0.037065304,9/9/16,760
-0.05278541,9/12/16,761
-0.051755836,9/13/16,762
-0.054567265,9/14/16,763
-0.056641306,9/15/16,764
-0.046849585,9/16/16,765
-0.046227529,9/19/16,766
-0.04614659,9/20/16,767
-0.053541506,9/21/16,768
-0.052803536,9/22/16,769
-0.056290544,9/23/16,770
-0.058491184,9/26/16,771
-0.06596152,9/27/16,772
-0.068298606,9/28/16,773
-0.067592995,9/29/16,774
-0.068151191,9/30/16,775
-0.070422169,10/3/16,776
-0.069159883,10/4/16,777
-0.075875539,10/5/16,778
-0.076186759,10/6/16,779
-0.077248199,10/7/16,780
-0.076900971,10/10/16,781
-0.086748497,10/11/16,782
-0.09267535,10/12/16,783
-0.092061624,10/13/16,784
-0.09320008,10/14/16,785
-0.093813046,10/17/16,786
-0.093153775,10/18/16,787
-0.033773519,10/19/16,788
-0.036808625,10/20/16,789
-0.035382986,10/21/16,790
-0.044285159,10/24/16,791
-0.050182036,10/25/16,792
-0.049592013,10/26/16,793
-0.042649,10/27/16,794
-0.062225854,10/28/16,795
-0.104312797,10/31/16,796
0.040141218,11/1/16,797
0.009060794,11/2/16,798
0.055758527,11/3/16,799
0.070555878,11/4/16,800
0.012710916,11/7/16,801
0.014887981,11/8/16,802
0.019852185,11/9/16,803
0.014500209,11/10/16,804
0.009073677,11/11/16,805
-0.042419362,11/14/16,806
-0.028307704,11/15/16,807
-0.050188421,11/16/16,808
-0.0522409,11/17/16,809
-0.057422381,11/18/16,810
-0.067240472,11/21/16,811
-0.067220395,11/22/16,812
-0.067821876,11/23/16,813
-0.063512188,11/25/16,814
-0.059761653,11/28/16,815
-0.051649865,11/29/16,816
-0.053493183,11/30/16,817
-0.057612853,12/1/16,818
-0.05618596,12/2/16,819
-0.068256554,12/5/16,820
-0.066675778,12/6/16,821
-0.078851576,12/7/16,822
-0.176385243,12/8/16,823
-0.189322165,12/9/16,824
-0.191147037,12/12/16,825
-0.185843291,12/13/16,826
-0.181264404,12/14/16,827
-0.183839346,12/15/16,828
-0.183682669,12/16/16,829
-0.178913582,12/19/16,830
-0.176572636,12/20/16,831
-0.178646217,12/21/16,832
-0.174815602,12/22/16,833
-0.155214365,12/23/16,834
-0.148631431,12/27/16,835
